maxGain = 1830
    i DetId    ch    gain
  110     8    13   0.000
  111     8    14   0.000
  112     8    15   0.000
  113     8    16   0.000
  114     8    17   0.000
  115     8    18   0.063
  116     8    19   0.063
  117     8    20   0.063
  118     8    21   0.062
  119     8    22   0.061
  120     8    23   0.060
  121     8    24   0.059
  122     8    25   0.057
  123     8    26   0.056
  124     8    27   0.054
  125     8    28   0.053
  126     8    29   0.000
  127     8    30   0.000
  128     8    31   0.000
  129     8    32   0.000
  130     8    33   0.000
  131     8    34   0.000
  132     8    35   0.068
  133     8    36   0.067
  134     8    37   0.067
  135     8    38   0.066
  136     8    39   0.065
  137     8    40   0.063
  138     8    41   0.062
  139     8    42   0.060
  140     8    43   0.059
  141     8    44   0.057
  142     8    45   0.055
  143     8    46   0.053
  144     8    47   0.000
  145     8    48   0.000
  146     8    49   0.000
  147     8    50   0.000
  148     8    51   0.000
  149     8    52   0.073
  150     8    53   0.072
  151     8    54   0.072
  152     8    55   0.071
  153     8    56   0.069
  154     8    57   0.067
  155     8    58   0.066
  156     8    59   0.064
  157     8    60   0.062
  158     8    61   0.060
  159     8    62   0.058
  160     8    63   0.055
  161     8    64   0.053
  162     8    65   0.000
  163     8    66   0.000
  164     8    67   0.000
  165     8    68   0.000
  166     8    69   0.079
  167     8    70   0.078
  168     8    71   0.077
  169     8    72   0.076
  170     8    73   0.074
  171     8    74   0.072
  172     8    75   0.070
  173     8    76   0.067
  174     8    77   0.065
  175     8    78   0.063
  176     8    79   0.060
  177     8    80   0.058
  178     8    81   0.056
  179     8    82   0.053
  180     8    83   0.000
  181     8    84   0.000
  182     8    85   0.000
  183     8    86   0.085
  184     8    87   0.085
  185     8    88   0.084
  186     8    89   0.082
  187     8    90   0.080
  188     8    91   0.077
  189     8    92   0.074
  190     8    93   0.072
  191     8    94   0.069
  192     8    95   0.066
  193     8    96   0.063
  194     8    97   0.060
  195     8    98   0.058
  196     8    99   0.055
  197     8   100   0.053
  198     8   101   0.000
  199     8   102   0.000
  200     8   103   0.094
  201     8   104   0.093
  202     8   105   0.091
  203     8   106   0.089
  204     8   107   0.086
  205     8   108   0.083
  206     8   109   0.080
  207     8   110   0.076
  208     8   111   0.073
  209     8   112   0.069
  210     8   113   0.066
  211     8   114   0.063
  212     8   115   0.060
  213     8   116   0.058
  214     8   117   0.055
  215     8   118   0.053
  216     8   119   0.000
  217     8   120   0.103
  218     8   121   0.102
  219     8   122   0.100
  220     8   123   0.097
  221     8   124   0.094
  222     8   125   0.090
  223     8   126   0.085
  224     8   127   0.081
  225     8   128   0.077
  226     8   129   0.073
  227     8   130   0.069
  228     8   131   0.066
  229     8   132   0.063
  230     8   133   0.060
  231     8   134   0.057
  232     8   135   0.054
  233     8   136   0.052
  234     8   137   0.116
  235     8   138   0.114
  236     8   139   0.111
  237     8   140   0.107
  238     8   141   0.102
  239     8   142   0.097
  240     8   143   0.092
  241     8   144   0.087
  242     8   145   0.082
  243     8   146   0.077
  244     8   147   0.073
  245     8   148   0.069
  246     8   149   0.065
  247     8   150   0.062
  248     8   151   0.059
  249     8   152   0.056
  250     8   153   0.053
  251     8   154   0.000
  252     8   155   0.000
  253     8   156   0.000
  254     8   157   0.000
  255     8   158   0.000
  256     8   159   0.000
  257     8   160   0.000
  258     8   161   0.000
  259     8   162   0.087
  260     8   163   0.081
  261     8   164   0.076
  262     8   165   0.072
  263     8   166   0.067
  264     8   167   0.064
  265     8   168   0.060
  266     8   169   0.057
  267     8   170   0.054
  268     8   171   0.000
  269     8   172   0.000
  270     8   173   0.000
  271     8   174   0.000
  272     8   175   0.000
  273     8   176   0.000
  274     8   177   0.000
  275     8   178   0.000
  276     8   179   0.092
  277     8   180   0.085
  278     8   181   0.080
  279     8   182   0.074
  280     8   183   0.070
  281     8   184   0.066
  282     8   185   0.062
  283     8   186   0.059
  284     8   187   0.055
  285     8   188   0.000
  286     8   189   0.000
  287     8   190   0.000
  288     8   191   0.000
  289     8   192   0.000
  290     8   193   0.000
  291     8   194   0.000
  292     8   195   0.000
  293     8   196   0.097
  294     8   197   0.090
  295     8   198   0.083
  296     8   199   0.077
  297     8   200   0.072
  298     8   201   0.067
  299     8   202   0.063
  300     8   203   0.060
  301     8   204   0.057
  302     8   205   0.000
  303     8   206   0.000
  304     8   207   0.000
  305     8   208   0.000
  306     8   209   0.000
  307     8   210   0.000
  308     8   211   0.000
  309     8   212   0.000
  310     8   213   0.102
  311     8   214   0.094
  312     8   215   0.086
  313     8   216   0.080
  314     8   217   0.074
  315     8   218   0.069
  316     8   219   0.065
  317     8   220   0.061
  318     8   221   0.058
  319     8   222   0.000
  320     8   223   0.000
  321     8   224   0.000
  322     8   225   0.000
  323     8   226   0.000
  324     8   227   0.000
  325     8   228   0.000
  326     8   229   0.000
  327     8   230   0.107
  328     8   231   0.097
  329     8   232   0.089
  330     8   233   0.082
  331     8   234   0.076
  332     8   235   0.071
  333     8   236   0.066
  334     8   237   0.062
  335     8   238   0.058
  336     8   239   0.000
  337     8   240   0.000
  338     8   241   0.000
  339     8   242   0.000
  340     8   243   0.000
  341     8   244   0.000
  342     8   245   0.000
  343     8   246   0.000
  344     8   247   0.111
  345     8   248   0.100
  346     8   249   0.091
  347     8   250   0.084
  348     8   251   0.077
  349     8   252   0.072
  350     8   253   0.067
  351     8   254   0.063
  352     8   255   0.059
  353     8   256   0.000
  354     8   257   0.000
  355     8   258   0.000
  356     8   259   0.000
  357     8   260   0.000
  358     8   261   0.000
  359     8   262   0.000
  360     8   263   0.000
  361     8   264   0.114
  362     8   265   0.102
  363     8   266   0.093
  364     8   267   0.085
  365     8   268   0.078
  366     8   269   0.072
  367     8   270   0.067
  368     8   271   0.063
  369     8   272   0.059
  370     8   273   0.000
  371     8   274   0.000
  372     8   275   0.000
  373     8   276   0.000
  374     8   277   0.000
  375     8   278   0.000
  376     8   279   0.000
  377     8   280   0.000
  378     8   281   0.116
  379     8   282   0.103
  380     8   283   0.094
  381     8   284   0.085
  382     8   285   0.079
  383     8   286   0.073
  384     8   287   0.068
  385     8   288   0.063
  386     8   289   0.060
  387     8   290   0.000
  388     8   291   0.000
  389     8   292   0.000
  390     8   293   0.000
  391     8   294   0.000
  392     8   295   0.000
  393     8   296   0.000
  394     8   297   0.000
  395     8   298   0.116
  396     8   299   0.103
  397     8   300   0.094
  398     8   301   0.085
  399     8   302   0.079
  400     8   303   0.073
  401     8   304   0.068
  402     8   305   0.063
  403     8   306   0.060
  404     8   307   0.000
  405     8   308   0.000
  406     8   309   0.000
  407     8   310   0.000
  408     8   311   0.000
  409     8   312   0.000
  410     8   313   0.000
  411     8   314   0.000
  412     8   315   0.114
  413     8   316   0.102
  414     8   317   0.093
  415     8   318   0.085
  416     8   319   0.078
  417     8   320   0.072
  418     8   321   0.067
  419     8   322   0.063
  420     8   323   0.059
  421     8   324   0.000
  422     8   325   0.000
  423     8   326   0.000
  424     8   327   0.000
  425     8   328   0.000
  426     8   329   0.000
  427     8   330   0.000
  428     8   331   0.000
  429     8   332   0.111
  430     8   333   0.100
  431     8   334   0.091
  432     8   335   0.084
  433     8   336   0.077
  434     8   337   0.072
  435     8   338   0.067
  436     8   339   0.063
  437     8   340   0.059
  438     8   341   0.000
  439     8   342   0.000
  440     8   343   0.000
  441     8   344   0.000
  442     8   345   0.000
  443     8   346   0.000
  444     8   347   0.000
  445     8   348   0.000
  446     8   349   0.107
  447     8   350   0.097
  448     8   351   0.089
  449     8   352   0.082
  450     8   353   0.076
  451     8   354   0.071
  452     8   355   0.066
  453     8   356   0.062
  454     8   357   0.058
  455     8   358   0.000
  456     8   359   0.000
  457     8   360   0.000
  458     8   361   0.000
  459     8   362   0.000
  460     8   363   0.000
  461     8   364   0.000
  462     8   365   0.000
  463     8   366   0.102
  464     8   367   0.094
  465     8   368   0.086
  466     8   369   0.080
  467     8   370   0.074
  468     8   371   0.069
  469     8   372   0.065
  470     8   373   0.061
  471     8   374   0.058
  472     8   375   0.000
  473     8   376   0.000
  474     8   377   0.000
  475     8   378   0.000
  476     8   379   0.000
  477     8   380   0.000
  478     8   381   0.000
  479     8   382   0.000
  480     8   383   0.097
  481     8   384   0.090
  482     8   385   0.083
  483     8   386   0.077
  484     8   387   0.072
  485     8   388   0.067
  486     8   389   0.063
  487     8   390   0.060
  488     8   391   0.057
  489     8   392   0.000
  490     8   393   0.000
  491     8   394   0.000
  492     8   395   0.000
  493     8   396   0.000
  494     8   397   0.000
  495     8   398   0.000
  496     8   399   0.000
  497     8   400   0.092
  498     8   401   0.085
  499     8   402   0.080
  500     8   403   0.074
  501     8   404   0.070
  502     8   405   0.066
  503     8   406   0.062
  504     8   407   0.059
  505     8   408   0.055
  506     8   409   0.000
  507     8   410   0.000
  508     8   411   0.000
  509     8   412   0.000
  510     8   413   0.000
  511     8   414   0.000
  512     8   415   0.000
  513     8   416   0.000
  514     8   417   0.087
  515     8   418   0.081
  516     8   419   0.076
  517     8   420   0.072
  518     8   421   0.067
  519     8   422   0.064
  520     8   423   0.060
  521     8   424   0.057
  522     8   425   0.054
  523     8   426   0.116
  524     8   427   0.114
  525     8   428   0.111
  526     8   429   0.107
  527     8   430   0.102
  528     8   431   0.097
  529     8   432   0.092
  530     8   433   0.087
  531     8   434   0.082
  532     8   435   0.077
  533     8   436   0.073
  534     8   437   0.069
  535     8   438   0.065
  536     8   439   0.062
  537     8   440   0.059
  538     8   441   0.056
  539     8   442   0.053
  540     8   443   0.103
  541     8   444   0.102
  542     8   445   0.100
  543     8   446   0.097
  544     8   447   0.094
  545     8   448   0.090
  546     8   449   0.085
  547     8   450   0.081
  548     8   451   0.077
  549     8   452   0.073
  550     8   453   0.069
  551     8   454   0.066
  552     8   455   0.063
  553     8   456   0.060
  554     8   457   0.057
  555     8   458   0.054
  556     8   459   0.052
  557     8   460   0.094
  558     8   461   0.093
  559     8   462   0.091
  560     8   463   0.089
  561     8   464   0.086
  562     8   465   0.083
  563     8   466   0.080
  564     8   467   0.076
  565     8   468   0.073
  566     8   469   0.069
  567     8   470   0.066
  568     8   471   0.063
  569     8   472   0.060
  570     8   473   0.058
  571     8   474   0.055
  572     8   475   0.053
  573     8   476   0.000
  574     8   477   0.085
  575     8   478   0.085
  576     8   479   0.084
  577     8   480   0.082
  578     8   481   0.080
  579     8   482   0.077
  580     8   483   0.074
  581     8   484   0.072
  582     8   485   0.069
  583     8   486   0.066
  584     8   487   0.063
  585     8   488   0.060
  586     8   489   0.058
  587     8   490   0.055
  588     8   491   0.053
  589     8   492   0.000
  590     8   493   0.000
  591     8   494   0.079
  592     8   495   0.078
  593     8   496   0.077
  594     8   497   0.076
  595     8   498   0.074
  596     8   499   0.072
  597     8   500   0.070
  598     8   501   0.067
  599     8   502   0.065
  600     8   503   0.063
  601     8   504   0.060
  602     8   505   0.058
  603     8   506   0.056
  604     8   507   0.053
  605     8   508   0.000
  606     8   509   0.000
  607     8   510   0.000
  608     8   511   0.073
  609     8   512   0.072
  610     8   513   0.072
  611     8   514   0.071
  612     8   515   0.069
  613     8   516   0.067
  614     8   517   0.066
  615     8   518   0.064
  616     8   519   0.062
  617     8   520   0.060
  618     8   521   0.058
  619     8   522   0.055
  620     8   523   0.053
  621     8   524   0.000
  622     8   525   0.000
  623     8   526   0.000
  624     8   527   0.000
  625     8   528   0.068
  626     8   529   0.067
  627     8   530   0.067
  628     8   531   0.066
  629     8   532   0.065
  630     8   533   0.063
  631     8   534   0.062
  632     8   535   0.060
  633     8   536   0.059
  634     8   537   0.057
  635     8   538   0.055
  636     8   539   0.053
  637     8   540   0.000
  638     8   541   0.000
  639     8   542   0.000
  640     8   543   0.000
  641     8   544   0.000
  642     8   545   0.063
  643     8   546   0.063
  644     8   547   0.063
  645     8   548   0.062
  646     8   549   0.061
  647     8   550   0.060
  648     8   551   0.059
  649     8   552   0.057
  650     8   553   0.056
  651     8   554   0.054
  652     8   555   0.053
  653     8   556   0.000
  654     8   557   0.000
  655     8   558   0.000
  656     8   559   0.000
  657     8   560   0.000
  658     8   561   0.000
  659     8   562   0.060
  660     8   563   0.059
  661     8   564   0.059
  662     8   565   0.058
  663     8   566   0.058
  664     8   567   0.057
  665     8   568   0.055
  666     8   569   0.054
  667     8   570   0.053
  668     8   571   0.052
  669     8   572   0.000
  670     8   573   0.000
  671     8   574   0.000
  672     8   575   0.000
  673     8   576   0.000
  674     8   577   0.000
  675     8   578   0.000
  676     9     1   0.060
  677     9     2   0.059
  678     9     3   0.059
  679     9     4   0.058
  680     9     5   0.058
  681     9     6   0.057
  682     9     7   0.055
  683     9     8   0.054
  684     9     9   0.053
  685     9    10   0.052
  686     9    11   0.000
  687     9    12   0.000
  688     9    13   0.000
  689     9    14   0.000
  690     9    15   0.000
  691     9    16   0.000
  692     9    17   0.000
  693     9    18   0.063
  694     9    19   0.063
  695     9    20   0.063
  696     9    21   0.062
  697     9    22   0.061
  698     9    23   0.060
  699     9    24   0.059
  700     9    25   0.057
  701     9    26   0.056
  702     9    27   0.054
  703     9    28   0.053
  704     9    29   0.000
  705     9    30   0.000
  706     9    31   0.000
  707     9    32   0.000
  708     9    33   0.000
  709     9    34   0.000
  710     9    35   0.068
  711     9    36   0.067
  712     9    37   0.067
  713     9    38   0.066
  714     9    39   0.065
  715     9    40   0.063
  716     9    41   0.062
  717     9    42   0.060
  718     9    43   0.059
  719     9    44   0.057
  720     9    45   0.055
  721     9    46   0.053
  722     9    47   0.000
  723     9    48   0.000
  724     9    49   0.000
  725     9    50   0.000
  726     9    51   0.000
  727     9    52   0.073
  728     9    53   0.072
  729     9    54   0.072
  730     9    55   0.071
  731     9    56   0.069
  732     9    57   0.067
  733     9    58   0.066
  734     9    59   0.064
  735     9    60   0.062
  736     9    61   0.060
  737     9    62   0.058
  738     9    63   0.055
  739     9    64   0.053
  740     9    65   0.000
  741     9    66   0.000
  742     9    67   0.000
  743     9    68   0.000
  744     9    69   0.079
  745     9    70   0.078
  746     9    71   0.077
  747     9    72   0.076
  748     9    73   0.074
  749     9    74   0.072
  750     9    75   0.070
  751     9    76   0.067
  752     9    77   0.065
  753     9    78   0.063
  754     9    79   0.060
  755     9    80   0.058
  756     9    81   0.056
  757     9    82   0.053
  758     9    83   0.000
  759     9    84   0.000
  760     9    85   0.000
  761     9    86   0.085
  762     9    87   0.085
  763     9    88   0.084
  764     9    89   0.082
  765     9    90   0.080
  766     9    91   0.077
  767     9    92   0.074
  768     9    93   0.072
  769     9    94   0.069
  770     9    95   0.066
  771     9    96   0.063
  772     9    97   0.060
  773     9    98   0.058
  774     9    99   0.055
  775     9   100   0.053
  776     9   101   0.000
  777     9   102   0.000
  778     9   103   0.094
  779     9   104   0.093
  780     9   105   0.091
  781     9   106   0.089
  782     9   107   0.086
  783     9   108   0.083
  784     9   109   0.080
  785     9   110   0.076
  786     9   111   0.073
  787     9   112   0.069
  788     9   113   0.066
  789     9   114   0.063
  790     9   115   0.060
  791     9   116   0.058
  792     9   117   0.055
  793     9   118   0.053
  794     9   119   0.000
  795     9   120   0.103
  796     9   121   0.102
  797     9   122   0.100
  798     9   123   0.097
  799     9   124   0.094
  800     9   125   0.090
  801     9   126   0.085
  802     9   127   0.081
  803     9   128   0.077
  804     9   129   0.073
  805     9   130   0.069
  806     9   131   0.066
  807     9   132   0.063
  808     9   133   0.060
  809     9   134   0.057
  810     9   135   0.054
  811     9   136   0.052
  812     9   137   0.116
  813     9   138   0.114
  814     9   139   0.111
  815     9   140   0.107
  816     9   141   0.102
  817     9   142   0.097
  818     9   143   0.092
  819     9   144   0.087
  820     9   145   0.082
  821     9   146   0.077
  822     9   147   0.073
  823     9   148   0.069
  824     9   149   0.065
  825     9   150   0.062
  826     9   151   0.059
  827     9   152   0.056
  828     9   153   0.053
  829     9   154   0.000
  830     9   155   0.000
  831     9   156   0.000
  832     9   157   0.000
  833     9   158   0.000
  834     9   159   0.000
  835     9   160   0.000
  836     9   161   0.000
  837     9   162   0.087
  838     9   163   0.081
  839     9   164   0.076
  840     9   165   0.072
  841     9   166   0.067
  842     9   167   0.064
  843     9   168   0.060
  844     9   169   0.057
  845     9   170   0.054
  846     9   171   0.000
  847     9   172   0.000
  848     9   173   0.000
  849     9   174   0.000
  850     9   175   0.000
  851     9   176   0.000
  852     9   177   0.000
  853     9   178   0.000
  854     9   179   0.092
  855     9   180   0.085
  856     9   181   0.080
  857     9   182   0.074
  858     9   183   0.070
  859     9   184   0.066
  860     9   185   0.062
  861     9   186   0.059
  862     9   187   0.055
  863     9   188   0.000
  864     9   189   0.000
  865     9   190   0.000
  866     9   191   0.000
  867     9   192   0.000
  868     9   193   0.000
  869     9   194   0.000
  870     9   195   0.000
  871     9   196   0.097
  872     9   197   0.090
  873     9   198   0.083
  874     9   199   0.077
  875     9   200   0.072
  876     9   201   0.067
  877     9   202   0.063
  878     9   203   0.060
  879     9   204   0.057
  880     9   205   0.000
  881     9   206   0.000
  882     9   207   0.000
  883     9   208   0.000
  884     9   209   0.000
  885     9   210   0.000
  886     9   211   0.000
  887     9   212   0.000
  888     9   213   0.102
  889     9   214   0.094
  890     9   215   0.086
  891     9   216   0.080
  892     9   217   0.074
  893     9   218   0.069
  894     9   219   0.065
  895     9   220   0.061
  896     9   221   0.058
  897     9   222   0.000
  898     9   223   0.000
  899     9   224   0.000
  900     9   225   0.000
  901     9   226   0.000
  902     9   227   0.000
  903     9   228   0.000
  904     9   229   0.000
  905     9   230   0.107
  906     9   231   0.097
  907     9   232   0.089
  908     9   233   0.082
  909     9   234   0.076
  910     9   235   0.071
  911     9   236   0.066
  912     9   237   0.062
  913     9   238   0.058
  914     9   239   0.000
  915     9   240   0.000
  916     9   241   0.000
  917     9   242   0.000
  918     9   243   0.000
  919     9   244   0.000
  920     9   245   0.000
  921     9   246   0.000
  922     9   247   0.111
  923     9   248   0.100
  924     9   249   0.091
  925     9   250   0.084
  926     9   251   0.077
  927     9   252   0.072
  928     9   253   0.067
  929     9   254   0.063
  930     9   255   0.059
  931     9   256   0.000
  932     9   257   0.000
  933     9   258   0.000
  934     9   259   0.000
  935     9   260   0.000
  936     9   261   0.000
  937     9   262   0.000
  938     9   263   0.000
  939     9   264   0.114
  940     9   265   0.102
  941     9   266   0.093
  942     9   267   0.085
  943     9   268   0.078
  944     9   269   0.072
  945     9   270   0.067
  946     9   271   0.063
  947     9   272   0.059
  948     9   273   0.000
  949     9   274   0.000
  950     9   275   0.000
  951     9   276   0.000
  952     9   277   0.000
  953     9   278   0.000
  954     9   279   0.000
  955     9   280   0.000
  956     9   281   0.116
  957     9   282   0.103
  958     9   283   0.094
  959     9   284   0.085
  960     9   285   0.079
  961     9   286   0.073
  962     9   287   0.068
  963     9   288   0.063
  964     9   289   0.060
  965     9   290   0.000
  966     9   291   0.000
  967     9   292   0.000
  968     9   293   0.000
  969     9   294   0.000
  970     9   295   0.000
  971     9   296   0.000
  972     9   297   0.000
  973     9   298   0.116
  974     9   299   0.103
  975     9   300   0.094
  976     9   301   0.085
  977     9   302   0.079
  978     9   303   0.073
  979     9   304   0.068
  980     9   305   0.063
  981     9   306   0.060
  982     9   307   0.000
  983     9   308   0.000
  984     9   309   0.000
  985     9   310   0.000
  986     9   311   0.000
  987     9   312   0.000
  988     9   313   0.000
  989     9   314   0.000
  990     9   315   0.114
  991     9   316   0.102
  992     9   317   0.093
  993     9   318   0.085
  994     9   319   0.078
  995     9   320   0.072
  996     9   321   0.067
  997     9   322   0.063
  998     9   323   0.059
  999     9   324   0.000
 1000     9   325   0.000
 1001     9   326   0.000
 1002     9   327   0.000
 1003     9   328   0.000
 1004     9   329   0.000
 1005     9   330   0.000
 1006     9   331   0.000
 1007     9   332   0.111
 1008     9   333   0.100
 1009     9   334   0.091
 1010     9   335   0.084
 1011     9   336   0.077
 1012     9   337   0.072
 1013     9   338   0.067
 1014     9   339   0.063
 1015     9   340   0.059
 1016     9   341   0.000
 1017     9   342   0.000
 1018     9   343   0.000
 1019     9   344   0.000
 1020     9   345   0.000
 1021     9   346   0.000
 1022     9   347   0.000
 1023     9   348   0.000
 1024     9   349   0.107
 1025     9   350   0.097
 1026     9   351   0.089
 1027     9   352   0.082
 1028     9   353   0.076
 1029     9   354   0.071
 1030     9   355   0.066
 1031     9   356   0.062
 1032     9   357   0.058
 1033     9   358   0.000
 1034     9   359   0.000
 1035     9   360   0.000
 1036     9   361   0.000
 1037     9   362   0.000
 1038     9   363   0.000
 1039     9   364   0.000
 1040     9   365   0.000
 1041     9   366   0.102
 1042     9   367   0.094
 1043     9   368   0.086
 1044     9   369   0.080
 1045     9   370   0.074
 1046     9   371   0.069
 1047     9   372   0.065
 1048     9   373   0.061
 1049     9   374   0.058
 1050     9   375   0.000
 1051     9   376   0.000
 1052     9   377   0.000
 1053     9   378   0.000
 1054     9   379   0.000
 1055     9   380   0.000
 1056     9   381   0.000
 1057     9   382   0.000
 1058     9   383   0.097
 1059     9   384   0.090
 1060     9   385   0.083
 1061     9   386   0.077
 1062     9   387   0.072
 1063     9   388   0.067
 1064     9   389   0.063
 1065     9   390   0.060
 1066     9   391   0.057
 1067     9   392   0.000
 1068     9   393   0.000
 1069     9   394   0.000
 1070     9   395   0.000
 1071     9   396   0.000
 1072     9   397   0.000
 1073     9   398   0.000
 1074     9   399   0.000
 1075     9   400   0.092
 1076     9   401   0.085
 1077     9   402   0.080
 1078     9   403   0.074
 1079     9   404   0.070
 1080     9   405   0.066
 1081     9   406   0.062
 1082     9   407   0.059
 1083     9   408   0.055
 1084     9   409   0.000
 1085     9   410   0.000
 1086     9   411   0.000
 1087     9   412   0.000
 1088     9   413   0.000
 1089     9   414   0.000
 1090     9   415   0.000
 1091     9   416   0.000
 1092     9   417   0.087
 1093     9   418   0.081
 1094     9   419   0.076
 1095     9   420   0.072
 1096     9   421   0.067
 1097     9   422   0.064
 1098     9   423   0.060
 1099     9   424   0.057
 1100     9   425   0.054
 1101     9   426   0.116
 1102     9   427   0.114
 1103     9   428   0.111
 1104     9   429   0.107
 1105     9   430   0.102
 1106     9   431   0.097
 1107     9   432   0.092
 1108     9   433   0.087
 1109     9   434   0.082
 1110     9   435   0.077
 1111     9   436   0.073
 1112     9   437   0.069
 1113     9   438   0.065
 1114     9   439   0.062
 1115     9   440   0.059
 1116     9   441   0.056
 1117     9   442   0.053
 1118     9   443   0.103
 1119     9   444   0.102
 1120     9   445   0.100
 1121     9   446   0.097
 1122     9   447   0.094
 1123     9   448   0.090
 1124     9   449   0.085
 1125     9   450   0.081
 1126     9   451   0.077
 1127     9   452   0.073
 1128     9   453   0.069
 1129     9   454   0.066
 1130     9   455   0.063
 1131     9   456   0.060
 1132     9   457   0.057
 1133     9   458   0.054
 1134     9   459   0.052
 1135     9   460   0.094
 1136     9   461   0.093
 1137     9   462   0.091
 1138     9   463   0.089
 1139     9   464   0.086
 1140     9   465   0.083
 1141     9   466   0.080
 1142     9   467   0.076
 1143     9   468   0.073
 1144     9   469   0.069
 1145     9   470   0.066
 1146     9   471   0.063
 1147     9   472   0.060
 1148     9   473   0.058
 1149     9   474   0.055
 1150     9   475   0.053
 1151     9   476   0.000
 1152     9   477   0.085
 1153     9   478   0.085
 1154     9   479   0.084
 1155     9   480   0.082
 1156     9   481   0.080
 1157     9   482   0.077
 1158     9   483   0.074
 1159     9   484   0.072
 1160     9   485   0.069
 1161     9   486   0.066
 1162     9   487   0.063
 1163     9   488   0.060
 1164     9   489   0.058
 1165     9   490   0.055
 1166     9   491   0.053
 1167     9   492   0.000
 1168     9   493   0.000
 1169     9   494   0.079
 1170     9   495   0.078
 1171     9   496   0.077
 1172     9   497   0.076
 1173     9   498   0.074
 1174     9   499   0.072
 1175     9   500   0.070
 1176     9   501   0.067
 1177     9   502   0.065
 1178     9   503   0.063
 1179     9   504   0.060
 1180     9   505   0.058
 1181     9   506   0.056
 1182     9   507   0.053
 1183     9   508   0.000
 1184     9   509   0.000
 1185     9   510   0.000
 1186     9   511   0.073
 1187     9   512   0.072
 1188     9   513   0.072
 1189     9   514   0.071
 1190     9   515   0.069
 1191     9   516   0.067
 1192     9   517   0.066
 1193     9   518   0.064
 1194     9   519   0.062
 1195     9   520   0.060
 1196     9   521   0.058
 1197     9   522   0.055
 1198     9   523   0.053
 1199     9   524   0.000
 1200     9   525   0.000
 1201     9   526   0.000
 1202     9   527   0.000
 1203     9   528   0.068
 1204     9   529   0.067
 1205     9   530   0.067
 1206     9   531   0.066
 1207     9   532   0.065
 1208     9   533   0.063
 1209     9   534   0.062
 1210     9   535   0.060
 1211     9   536   0.059
 1212     9   537   0.057
 1213     9   538   0.055
 1214     9   539   0.053
 1215     9   540   0.000
 1216     9   541   0.000
 1217     9   542   0.000
 1218     9   543   0.000
 1219     9   544   0.000
 1220     9   545   0.063
 1221     9   546   0.063
 1222     9   547   0.063
 1223     9   548   0.062
 1224     9   549   0.061
 1225     9   550   0.060
 1226     9   551   0.059
 1227     9   552   0.057
 1228     9   553   0.056
 1229     9   554   0.054
 1230     9   555   0.053
 1231     9   556   0.000
 1232     9   557   0.000
 1233     9   558   0.000
 1234     9   559   0.000
 1235     9   560   0.000
 1236     9   561   0.000
 1237     9   562   0.060
 1238     9   563   0.059
 1239     9   564   0.059
 1240     9   565   0.058
 1241     9   566   0.058
 1242     9   567   0.057
 1243     9   568   0.055
 1244     9   569   0.054
 1245     9   570   0.053
